reader,positive_count,mean_pairwise_similarity,median_pairwise_similarity,std_pairwise_similarity,mean_centroid_similarity,median_centroid_similarity,std_centroid_similarity,min_centroid_similarity,max_centroid_similarity
you,98,0.4102194309234619,0.40720218420028687,0.09238846600055695,0.6451648473739624,0.6497498750686646,0.06627339124679565,0.47089970111846924,0.776221752166748
sarah,280,0.2623961567878723,0.26050418615341187,0.12086419761180878,0.514811098575592,0.5316286087036133,0.10547701269388199,0.12488948553800583,0.6970618963241577
shannon,507,0.33181145787239075,0.33463072776794434,0.09941782057285309,0.5771735906600952,0.5887542963027954,0.09057001024484634,0.22827549278736115,0.7520031929016113
