reader,centroid_similarity
sarah,0.4930284
sarah,0.55624366
sarah,0.6016387
sarah,0.6040839
sarah,0.64513147
sarah,0.64139014
sarah,0.48121938
sarah,0.6310538
sarah,0.64699525
sarah,0.49152488
sarah,0.5202079
sarah,0.31315058
sarah,0.54173315
sarah,0.44269097
sarah,0.41270965
sarah,0.5354837
sarah,0.56904286
sarah,0.5094973
sarah,0.5702778
sarah,0.51729107
sarah,0.54506695
sarah,0.5828073
sarah,0.5362313
sarah,0.6135865
sarah,0.5226796
sarah,0.44611567
sarah,0.54271114
sarah,0.59165865
sarah,0.6851553
sarah,0.44391572
sarah,0.45239908
sarah,0.53429013
sarah,0.4458817
sarah,0.54534
sarah,0.51782215
sarah,0.5318729
sarah,0.35433227
sarah,0.5009297
sarah,0.6225914
shannon,0.5490743
shannon,0.4836579
shannon,0.61107635
shannon,0.63042057
shannon,0.7287866
shannon,0.4591414
shannon,0.5226672
shannon,0.53137994
shannon,0.59225416
shannon,0.5620829
shannon,0.71101457
shannon,0.69304883
shannon,0.52130806
shannon,0.54371446
shannon,0.5238992
shannon,0.456138
shannon,0.49603826
shannon,0.59513897
shannon,0.4881168
shannon,0.51071656
shannon,0.6218575
shannon,0.6336664
shannon,0.5672616
shannon,0.6063564
shannon,0.5886339
shannon,0.6715647
shannon,0.6443646
shannon,0.55315685
shannon,0.5370719
shannon,0.45312244
shannon,0.6702201
shannon,0.66656923
shannon,0.62059
shannon,0.54611295
shannon,0.5194377
shannon,0.5946727
shannon,0.49578103
shannon,0.6442623
shannon,0.46826437
shannon,0.6031879
shannon,0.5367818
shannon,0.57136345
shannon,0.56898737
shannon,0.69230765
shannon,0.5283587
shannon,0.49511415
shannon,0.4029944
shannon,0.63827384
shannon,0.7349106
shannon,0.6004438
shannon,0.60139483
shannon,0.6393793
shannon,0.55117816
shannon,0.555319
shannon,0.54763633
shannon,0.5891159
shannon,0.51582336
shannon,0.61642516
shannon,0.5069195
shannon,0.5887543
shannon,0.6049899
shannon,0.5880488
shannon,0.60854495
shannon,0.5718527
shannon,0.4177296
shannon,0.5513815
shannon,0.7091383
shannon,0.6877413
shannon,0.5894605
shannon,0.57799685
shannon,0.55871314
shannon,0.41828287
shannon,0.38608822
shannon,0.5310815
shannon,0.6190723
shannon,0.53635293
shannon,0.52100736
shannon,0.5011128
shannon,0.5700447
shannon,0.65999174
shannon,0.43491593
shannon,0.562063
shannon,0.5964647
shannon,0.58034027
shannon,0.54556036
shannon,0.51122665
shannon,0.51415205
shannon,0.5504939
shannon,0.63245964
shannon,0.61340237
shannon,0.55675733
shannon,0.6465157
shannon,0.6132866
shannon,0.51483214
shannon,0.48429865
shannon,0.6744525
shannon,0.558619
shannon,0.64594686
shannon,0.70716965
shannon,0.51251805
shannon,0.59505403
shannon,0.6146404
shannon,0.670323
shannon,0.59416395
shannon,0.5580832
shannon,0.55707645
shannon,0.5368165
shannon,0.5522659
shannon,0.55291873
shannon,0.61018145
shannon,0.5854211
shannon,0.7041111
shannon,0.69056773
shannon,0.61691916
shannon,0.6166661
shannon,0.5798558
shannon,0.6760293
shannon,0.64793926
shannon,0.6486275
shannon,0.62883055
shannon,0.6609216
shannon,0.64798945
shannon,0.6011753
shannon,0.6651821
shannon,0.5796546
shannon,0.6300075
shannon,0.65991193
shannon,0.6272118
shannon,0.5969073
shannon,0.4337986
shannon,0.37988967
shannon,0.43006185
shannon,0.6871985
shannon,0.4902175
shannon,0.6629644
shannon,0.5826402
shannon,0.54755914
shannon,0.623913
shannon,0.51319283
shannon,0.67364824
shannon,0.74694514
shannon,0.64281535
shannon,0.4125666
shannon,0.5169108
shannon,0.41598663
shannon,0.601045
shannon,0.71549606
shannon,0.687008
shannon,0.5214911
shannon,0.69547606
shannon,0.40725467
shannon,0.61722475
shannon,0.5992645
shannon,0.4072156
shannon,0.5743609
shannon,0.5499561
shannon,0.55723816
shannon,0.4826467
shannon,0.59536254
shannon,0.50971186
shannon,0.34913567
shannon,0.6520371
shannon,0.6138563
shannon,0.628259
shannon,0.52766764
shannon,0.52860516
shannon,0.615983
shannon,0.2740962
shannon,0.5741553
shannon,0.61591053
shannon,0.6680616
shannon,0.45820644
shannon,0.57233626
shannon,0.5725304
shannon,0.66381466
shannon,0.7287657
shannon,0.5394125
shannon,0.54510987
shannon,0.62362385
shannon,0.5135075
shannon,0.73751163
shannon,0.50726867
shannon,0.6006307
shannon,0.67354
shannon,0.66691935
shannon,0.5584558
shannon,0.6653283
shannon,0.48974
shannon,0.5677794
shannon,0.48576593
shannon,0.6009763
shannon,0.4553156
shannon,0.63564515
shannon,0.42836064
shannon,0.46448365
shannon,0.43032724
shannon,0.2417449
shannon,0.60029316
shannon,0.6519382
shannon,0.50929695
shannon,0.5123551
shannon,0.54302573
shannon,0.6592412
shannon,0.53930104
shannon,0.5077514
shannon,0.70212466
shannon,0.56467855
shannon,0.6342746
shannon,0.351884
shannon,0.5750303
shannon,0.5785656
shannon,0.6218773
shannon,0.5525852
shannon,0.66372526
shannon,0.37083483
shannon,0.57812583
shannon,0.5996723
shannon,0.43508142
shannon,0.46385258
shannon,0.5077071
shannon,0.49760377
shannon,0.6832293
shannon,0.47612196
shannon,0.5825707
shannon,0.5826075
shannon,0.70493984
shannon,0.49956
shannon,0.5513117
shannon,0.5417328
shannon,0.60084665
shannon,0.32925686
shannon,0.2282755
shannon,0.51702845
shannon,0.662309
shannon,0.46849006
shannon,0.58656645
shannon,0.5134568
shannon,0.59261024
shannon,0.6040375
shannon,0.40634823
shannon,0.5985164
shannon,0.37461007
shannon,0.40355045
shannon,0.66431546
shannon,0.6152251
shannon,0.52627385
shannon,0.6549361
shannon,0.6070982
shannon,0.34875417
shannon,0.5055939
shannon,0.66815996
shannon,0.5161644
shannon,0.6046891
shannon,0.5621958
shannon,0.36280578
shannon,0.3010283
shannon,0.6360934
shannon,0.42335665
shannon,0.6979763
shannon,0.66205263
shannon,0.7138523
shannon,0.6620755
shannon,0.6102451
shannon,0.59276664
shannon,0.59893477
shannon,0.4075157
shannon,0.7127071
shannon,0.68965036
shannon,0.6541924
shannon,0.6661755
shannon,0.60806596
shannon,0.55872524
shannon,0.69191486
shannon,0.34153846
shannon,0.6311445
shannon,0.6539954
shannon,0.48053277
shannon,0.707649
shannon,0.6567137
shannon,0.46205857
shannon,0.6033665
shannon,0.6189063
shannon,0.572706
shannon,0.67101145
shannon,0.6291468
shannon,0.67976344
shannon,0.672151
shannon,0.7476313
shannon,0.52706003
shannon,0.6380398
shannon,0.47767496
shannon,0.50530994
shannon,0.45867974
shannon,0.4851093
shannon,0.6335837
shannon,0.6135107
shannon,0.5578483
shannon,0.57506716
shannon,0.6530638
shannon,0.6605761
shannon,0.64999986
shannon,0.5957587
shannon,0.5683708
shannon,0.5150627
shannon,0.56228185
shannon,0.6773484
shannon,0.64839244
shannon,0.6491684
shannon,0.62690896
shannon,0.5235702
shannon,0.66278005
shannon,0.52794206
shannon,0.6146918
shannon,0.531725
shannon,0.43214887
shannon,0.66721463
shannon,0.53777033
shannon,0.52969074
shannon,0.5839429
shannon,0.6636083
shannon,0.59392464
shannon,0.4996725
shannon,0.6886365
shannon,0.6023929
shannon,0.5609126
shannon,0.5328519
shannon,0.5497823
shannon,0.55629665
shannon,0.5924499
shannon,0.55723095
shannon,0.5218181
shannon,0.32106027
shannon,0.5661501
shannon,0.72126853
shannon,0.2749047
shannon,0.6790702
shannon,0.3158869
shannon,0.57609797
shannon,0.6175041
shannon,0.5611254
shannon,0.57431185
shannon,0.60835004
shannon,0.6979176
shannon,0.62180924
shannon,0.6640919
shannon,0.6120524
shannon,0.52418095
shannon,0.5409064
shannon,0.637135
shannon,0.6033442
shannon,0.6050525
shannon,0.61775327
shannon,0.6274471
shannon,0.63193905
shannon,0.65111053
shannon,0.6470181
shannon,0.7520032
shannon,0.69700944
shannon,0.6805792
shannon,0.6806144
shannon,0.23387751
shannon,0.6668728
shannon,0.56936944
shannon,0.5981086
shannon,0.6129277
shannon,0.44599575
shannon,0.5791148
shannon,0.6506154
shannon,0.61121833
shannon,0.28774667
shannon,0.59805775
shannon,0.53218794
shannon,0.4412306
shannon,0.43349516
shannon,0.52499413
shannon,0.55286455
shannon,0.557308
shannon,0.4961286
shannon,0.54488623
shannon,0.42076004
shannon,0.5774665
shannon,0.531263
shannon,0.60837954
shannon,0.6466297
shannon,0.614131
shannon,0.6086062
shannon,0.50090224
shannon,0.56120753
shannon,0.687263
shannon,0.5801724
shannon,0.72820264
shannon,0.65160215
shannon,0.65930545
shannon,0.66382724
shannon,0.71081436
shannon,0.58770555
shannon,0.5587342
shannon,0.558735
shannon,0.4952995
shannon,0.699587
shannon,0.69148415
shannon,0.6595423
shannon,0.65215826
shannon,0.5777552
shannon,0.54643345
shannon,0.6348555
shannon,0.68946785
shannon,0.69391
shannon,0.6371867
shannon,0.6621938
shannon,0.652007
shannon,0.5530536
shannon,0.55799896
shannon,0.6349597
shannon,0.5356445
shannon,0.5359601
shannon,0.6549727
shannon,0.74393094
shannon,0.5571551
shannon,0.5811587
shannon,0.5654015
shannon,0.69122684
shannon,0.65759504
shannon,0.5600923
shannon,0.6238947
shannon,0.4380335
shannon,0.56088054
shannon,0.6203816
shannon,0.5977719
shannon,0.6303581
shannon,0.6960789
shannon,0.67233133
shannon,0.58094525
shannon,0.6083451
shannon,0.6975572
shannon,0.61477506
shannon,0.7152768
shannon,0.62625444
shannon,0.5039077
shannon,0.638228
shannon,0.5222679
shannon,0.6186129
shannon,0.5601289
shannon,0.61976993
shannon,0.55150735
shannon,0.45896453
shannon,0.6288981
shannon,0.64293396
shannon,0.6540115
shannon,0.5537822
shannon,0.64401877
shannon,0.5085585
shannon,0.59817815
shannon,0.54334396
shannon,0.5518278
shannon,0.6930585
shannon,0.6875706
shannon,0.6516652
shannon,0.623507
shannon,0.5418129
shannon,0.65655863
shannon,0.55411685
shannon,0.58302695
shannon,0.72676975
shannon,0.7250015
shannon,0.6738957
shannon,0.61055434
shannon,0.70571816
shannon,0.60147
shannon,0.6272165
shannon,0.53317297
shannon,0.6437975
shannon,0.6384994
shannon,0.65152264
shannon,0.5497813
shannon,0.52499485
shannon,0.7012116
shannon,0.5156457
shannon,0.4728637
shannon,0.59694713
shannon,0.61790013
shannon,0.5451158
shannon,0.61387235
shannon,0.60690004
shannon,0.5119312
shannon,0.56400263
shannon,0.39452028
shannon,0.73491526
shannon,0.62292624
shannon,0.5382918
shannon,0.48918533
shannon,0.5010991
shannon,0.5778352
shannon,0.52409524
shannon,0.49180195
shannon,0.60486484
shannon,0.61960465
shannon,0.41099796
shannon,0.49791604
shannon,0.5331155
shannon,0.53061855
shannon,0.49504063
shannon,0.46781692
shannon,0.6141509
shannon,0.6695092
shannon,0.5925031
shannon,0.5495444
