reader,model_a_recall_at_10,model_b_recall_at_10,change_recall_at_10,model_a_recall_at_25,model_b_recall_at_25,change_recall_at_25,model_a_recall_at_50,model_b_recall_at_50,change_recall_at_50,model_a_mean_held_out_similarity,model_b_mean_held_out_similarity,change_mean_held_out_similarity,model_a_mean_rank_percentile,model_b_mean_rank_percentile,change_mean_rank_percentile
you,0.071578947368421,0.1631578947368421,0.09157894736842111,0.2152631578947368,0.2452631578947368,0.03,0.3584210526315789,0.4089473684210526,0.0505263157894737,0.63535889722799,0.6596244040288424,0.024265506800852377,0.7192479108635098,0.7542090602550945,0.03496114939158468
sarah,0.0107142857142857,0.0142857142857142,0.0035714285714284998,0.025,0.0321428571428571,0.007142857142857097,0.0535714285714285,0.0892857142857142,0.035714285714285705,0.5092772025348885,0.555164792548333,0.045887590013444446,0.612312030075188,0.6519817400644469,0.039669709989258894
shannon,0.0078819646670549,0.0118423607066589,0.003960396039604,0.0256455057270432,0.0315860997864492,0.005940594059405998,0.055270821199767,0.051349252572316,-0.003921568627451001,0.5746877383816082,0.5932438590386103,0.018556120657002073,0.6497522307555136,0.6556856981328926,0.005933467377378987
