reader,fold,training_positive_count,held_out_positive_count,selected_k,recall_at_10,recall_at_25,recall_at_50,mean_held_out_similarity,median_held_out_similarity,mean_rank_percentile,median_rank_percentile
you,1,78,20,6,0.1,0.2,0.3,0.6348146021366119,0.6487285494804382,0.6827298050139274,0.7799442896935933
you,2,78,20,6,0.2,0.2,0.4,0.6800864338874817,0.6545270681381226,0.7793871866295266,0.8259052924791086
you,3,78,20,4,0.2,0.3,0.45,0.668907630443573,0.6658161282539368,0.7710306406685237,0.8384401114206128
you,4,79,19,6,0.10526315789473684,0.21052631578947367,0.3157894736842105,0.6557157353350991,0.6393276453018188,0.7532619850461808,0.7771587743732591
you,5,79,19,6,0.21052631578947367,0.3157894736842105,0.5789473684210527,0.6585976183414459,0.6856133341789246,0.7846356839173142,0.8969359331476323
