reader,fold,training_positive_count,held_out_positive_count,selected_k,recall_at_10,recall_at_25,recall_at_50,mean_held_out_similarity,median_held_out_similarity,mean_rank_percentile,median_rank_percentile
shannon,1,405,102,2,0.0,0.0196078431372549,0.029411764705882353,0.5752256518485499,0.5810016989707947,0.6175262173465313,0.6036977491961415
shannon,2,405,102,6,0.0196078431372549,0.029411764705882353,0.0392156862745098,0.6128322654495052,0.6288439333438873,0.6754513166467015,0.715166130760986
shannon,3,406,101,2,0.019801980198019802,0.039603960396039604,0.04950495049504951,0.5945956568316658,0.6105828285217285,0.6734901785998536,0.7052518756698821
shannon,4,406,101,2,0.009900990099009901,0.039603960396039604,0.09900990099009901,0.5940802929425003,0.5964144468307495,0.6596468328504876,0.6591639871382637
shannon,5,406,101,2,0.009900990099009901,0.0297029702970297,0.039603960396039604,0.5894854281208303,0.6033753156661987,0.6523139452208887,0.6747052518756699
