reader,title,author,work_id,edition_id
you,"Outlander (Outlander, #1)",Diana Gabaldon,OL3261155W,OL7520304M
you,Women Who Run With the Wolves,Clarissa Pinkola Estés,OL2960639W,OL14419724M
you,Where the Crawdads Sing,Delia Owens,OL18766691W,OL27002289M
you,Time Out of Joint,Philip K. Dick,OL2172523W,OL3567332M
you,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,OL5738148W,
you,"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,OL17924837W,OL26644284M
you,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,,
you,Small Admissions,Amy Poeppel,OL20041052W,OL27221086M
you,Do Androids Dream of Electric Sheep?,Philip K. Dick,OL2172356W,
you,The Gods Themselves,Isaac Asimov,OL46395W,OL9002796M
you,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,OL675783W,OL51647052M
you,"Storm Front (The Dresden Files, #1)",Jim  Butcher,OL5685119W,OL26971042M
you,"Ready Player One (Ready Player One, #1)",Ernest Cline,OL15936512W,OL24842593M
you,Confessions of a Domestic Failure,Bunmi Laditan,OL17710051W,OL34872250M
you,Thirteen Reasons Why,Jay Asher,OL9264548W,OL28374385M
you,"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,OL76837W,
you,The Vagina Monologues,V (formerly Eve Ensler),OL2699951W,OL32256710M
you,The Bell Jar,Sylvia Plath,OL1865528W,
you,Big Little Lies,Liane Moriarty,OL17116911W,OL25687542M
you,Scrappy Little Nobody,Anna Kendrick,OL20038691W,OL27218727M
you,"Three Parts Dead (Craft Sequence, #1)",Max Gladstone,OL16646364W,OL26629684M
you,Their Eyes Were Watching God,Zora Neale Hurston,OL27778127W,OL25098901M
you,The Scarlet Letter,Nathaniel Hawthorne,OL455305W,OL7361003M
you,The Martian,Andy Weir,OL17091839W,OL32815550M
you,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,OL5784622W,OL32362183M
you,All the Light We Cannot See,Anthony Doerr,OL16821606W,OL46538333M
