reader,interest_number,selected_k,book_count,percent_of_positive_books,keywords,representative_books
you,1,2,43,43.43434343434344,"court, glass, throne glass, kingdom, enemies, save, high, magic","Kingdom of Ash (Throne of Glass, #7) | Heir of Fire (Throne of Glass, #3) | A Court of Frost and Starlight (A Court of Thorns and Roses, #4) | Dawn of the North (The Ashen, #3) | A ​Court of Silver Flames (A Court of Thorns and Roses, #5) | Empire of Storms (Throne of Glass, #5) | Throne of Glass (Throne of Glass, #1) | A Court of Wings and Ruin (A Court of Thorns and Roses, #3) | Crown of Midnight (Throne of Glass, #2) | A Court of Mist and Fury (A Court of Thorns and Roses, #2)"
you,2,2,56,56.56565656565656,"thriller, suspense, mystery, science fiction, woman, historical, women, general","A Wrinkle in Time (Time Quintet, #1) | The Midnight Library (The Midnight World, #1) | The Fifth Season (The Broken Earth, #1) | Big Little Lies | All the Light We Cannot See | The Bell Jar | Fourth Wing (The Empyrean, #1) | Lights Out (Into Darkness, #1) | The Girl With the Dragon Tattoo (Millennium, #1) | The Handmaid’s Tale (The Handmaid's Tale, #1)"
sarah,1,2,160,56.93950177935944,"romance, love, just","Not in Love (Not in Love, #1) | Beautiful Stranger (Beautiful Bastard, #2) | Take a Hint, Dani Brown (The Brown Sisters, #2) | The Hating Game | Exes and O's (The Influencer #2) | Same Time Next Year | Act Your Age, Eve Brown (The Brown Sisters, #3) | Fix Her Up (Hot & Hammered, #1) | Shopaholic to the Rescue (Shopaholic, #8) | Party of Two (The Wedding Date, #5)"
sarah,2,2,121,43.06049822064057,"fantasy, adventure, adult, juvenile fiction, science, children, world, subjects","A Wrinkle in Time (Time Quintet, #1) | Matilda | An Abundance of Katherines | The Outsiders | Little Women (Little Women, #1) | Paper Towns | Holes (Holes, #1) | Life of Pi | The Time Traveler's Wife | The Hobbit, Part One"
shannon,1,2,246,48.5207100591716,"suspense, women, family, new york",Pretty Girls | All Good People Here | Little Secrets | Finders Keepers | Then She Was Gone | The Perfect Stranger | Safe Haven | Behind Closed Doors | Twenty Years Later | The Last One Home
shannon,2,2,261,51.4792899408284,romance,"Fortuity (Transcend, #3) | The Choice | The Soulmate | The Best of Me | One True Loves | Someone Else's Husband | Brighter than Before | June First | The Stranger (Just One Night, #1.1) | Promise Me Sunshine (Hearts of New York, #2)"
