reader,k,silhouette_mean,silhouette_std,min_cluster_size_mean,max_cluster_size_mean,mean_cluster_size,cluster_size_std_mean,mean_centroid_similarity,max_centroid_similarity,recall_at_10_mean,recall_at_10_std,recall_at_25_mean,recall_at_25_std,recall_at_50_mean,recall_at_50_std,held_out_similarity_mean,held_out_similarity_std,median_held_out_similarity,rank_percentile_mean,rank_percentile_std,median_rank_percentile
you,2,0.10712112188339233,0.009080824408663169,34.6,44.6,39.6,5.0,0.7379906177520752,0.7379906177520752,0.08105263157894736,0.057516708399841125,0.19157894736842104,0.06406692311262586,0.3336842105263158,0.04745605927936781,0.5797890186309814,0.02521936621112065,0.5799407839775086,0.5700908858166922,0.07087776891889976,0.5714938556067588
you,3,0.11272702813148498,0.00404951530354616,21.6,34.0,26.4,5.46103117489613,0.7078729867935181,0.7432689189910888,0.10105263157894737,0.07074984216381679,0.17157894736842105,0.04397178647201142,0.3331578947368421,0.023728029639683887,0.5877170085906982,0.02242359574152175,0.5898421049118042,0.5827623224728489,0.05945252399877863,0.587958269329237
you,4,0.08307245150208473,0.015176568709093924,11.4,28.0,19.8,6.919223871843661,0.6824533700942993,0.7676052808761596,0.13157894736842107,0.057804954306549465,0.2026315789473684,0.06413714529975757,0.2831578947368421,0.05880268899197535,0.5853449821472168,0.024886863551122382,0.5838597059249878,0.5741075470935403,0.07096396651853912,0.5775934459805427
you,5,0.08795731216669082,0.014035891531107382,3.8,26.2,15.84,8.046128201285049,0.613147521018982,0.7749605894088745,0.11052631578947367,0.08168499050088819,0.17157894736842105,0.056422672796847956,0.2926315789473684,0.06341504666910149,0.5892832279205322,0.023652088339344735,0.5922725200653076,0.5932365119788718,0.058416104947593264,0.6261546338965693
you,6,0.08596573024988174,0.0186599852267459,3.0,23.8,13.2,7.166326775647971,0.5949711799621582,0.7764832019805908,0.13105263157894737,0.08322615452959443,0.20210526315789473,0.07086720443773653,0.34368421052631576,0.10913281953275548,0.5907605648040771,0.031115849751456665,0.5923893213272095,0.6054809739402269,0.08752944848477155,0.6408282130056324
you,7,0.07103593647480011,0.011401763667407841,3.0,20.8,11.314285714285715,5.988943040630503,0.5787103652954102,0.7956241011619568,0.15157894736842106,0.061338938480880296,0.20157894736842102,0.10519076457992206,0.3131578947368421,0.041483902027459066,0.5868806123733521,0.022409203001556945,0.5801180839538574,0.5807848586520064,0.06033011562134763,0.5840066564260112
you,8,0.06240387409925461,0.010797864006370641,3.4,16.0,9.9,4.193033603675144,0.588407039642334,0.7990094542503356,0.1105263157894737,0.0645944089928083,0.18210526315789471,0.08442407134647488,0.32473684210526316,0.11136274983072883,0.589067029953003,0.026718494433888774,0.592036759853363,0.5930579001266608,0.07453114703088747,0.6448156682027649
you,9,0.0782216727733612,0.017447774181187037,2.6,16.4,8.8,4.3009519310211095,0.5590579867362976,0.8119340538978577,0.1726315789473684,0.08695367633547674,0.22263157894736843,0.09865087156145046,0.34421052631578947,0.08643044374899507,0.5947447657585144,0.032060519220777565,0.5877552270889282,0.6146655887029401,0.08845743267494409,0.6419380440348182
you,10,0.07537606284022332,0.02108752156536286,2.0,14.8,7.92,3.9512135787502123,0.5351333975791931,0.7928952097892761,0.16105263157894736,0.06401285362614981,0.2431578947368421,0.08528508489982989,0.32421052631578945,0.06465870337733098,0.5917745351791381,0.030520609218751805,0.5771803736686707,0.5893930525237826,0.08081483014959678,0.5872567844342038
sarah,2,0.12563707530498505,0.005253504235205371,101.6,123.2,112.4,10.8,0.6729799509048462,0.6729799509048462,0.014223057644110276,0.014922281349979144,0.035526315789473684,0.017625626229528422,0.08897243107769423,0.017870878066355463,0.5500948190689087,0.014502860988006317,0.5671683430671692,0.5845135710438729,0.0338416720599653,0.6076535804538274
