reader,k,silhouette_mean,silhouette_std,min_cluster_size_mean,max_cluster_size_mean,mean_cluster_size,cluster_size_std_mean,mean_centroid_similarity,max_centroid_similarity,recall_at_10_mean,recall_at_10_std,recall_at_25_mean,recall_at_25_std,recall_at_50_mean,recall_at_50_std,held_out_similarity_mean,held_out_similarity_std,median_held_out_similarity,rank_percentile_mean,rank_percentile_std,median_rank_percentile
shannon,2,0.05711132287979126,0.001568940625990298,196.6,209.0,202.8,6.2,0.8806331515312195,0.8806331515312195,0.011842360706658901,0.008237681812959474,0.029625315472723745,0.009998152870239833,0.04938846825859057,0.028966248109726433,0.5893829584121704,0.008225558364158411,0.6017619371414185,0.5577584714129151,0.02787508461250919,0.5806670229623171
shannon,3,0.050017374008893965,0.0036280930208263573,107.6,160.4,135.2,22.408459433028785,0.8548123478889466,0.8663236975669861,0.0059017666472529606,0.008779847231625802,0.021723937099592312,0.008330493439451867,0.04538924480683363,0.015093703897367531,0.5969456315040589,0.007917523008676595,0.6095614194869995,0.5594439742418731,0.028872441657964015,0.5855977797155261
shannon,4,0.05096651539206505,0.009708302582960918,45.2,159.8,101.4,45.01485340968244,0.7966094493865967,0.8757855892181396,0.009842748980780431,0.012007420367238543,0.029586488060570765,0.007002873887143812,0.05132983886623956,0.024728234311034845,0.6011940717697144,0.007081735546113477,0.6126688241958618,0.5651726791480307,0.028185297080270396,0.5923037326657478
shannon,5,0.05027833878993988,0.0031471439643283848,37.0,137.0,81.12,39.4128288398818,0.7729050278663635,0.8833408355712891,0.009842748980780431,0.012007420367238543,0.025645505727043293,0.01128970021843277,0.04342846049310813,0.020599762673446563,0.6073977947235107,0.007153522857060158,0.6154976725578308,0.5699946976134389,0.024714969670384702,0.5881261661650399
shannon,6,0.050897843390703204,0.006256746443840192,30.4,114.8,67.6,33.28367835689667,0.7509796500205994,0.8887427091598511,0.0059017666472529606,0.008779847231625802,0.027606290040768783,0.00825042537887798,0.051291011454086585,0.021488854902633237,0.6111921906471253,0.005651133001555467,0.618471622467041,0.5742084526289307,0.019577463177527336,0.5890158739088446
shannon,7,0.04748013988137245,0.004530641794870887,26.6,105.6,57.94285714285714,26.55409649668058,0.7477675557136536,0.8938735961914063,0.011842360706658901,0.012879790626879592,0.029605901766647253,0.018549488846053022,0.041428848767229666,0.01904119905774693,0.6142132878303528,0.006209145226950827,0.6231029510498047,0.5769069131951955,0.01767730809804859,0.5983978884794615
shannon,8,0.045054927468299866,0.004901994528585438,25.6,82.4,50.7,20.268966306324305,0.7455891489982605,0.8921160101890564,0.013822558726460881,0.015028484550238783,0.029567074354494273,0.020958217430284344,0.047311201708406136,0.017602301419918247,0.6154199481010437,0.006339513342182073,0.620305347442627,0.5708629120493949,0.0238481668367486,0.5737465425257611
shannon,9,0.04253324642777443,0.0032576601660651277,22.8,85.0,45.06666666666667,20.248471504701815,0.7404080152511596,0.9046050429344177,0.00788196466705494,0.004406419495051189,0.03150844496214327,0.016030067684671828,0.05917297612114153,0.03195004447628868,0.6190858721733093,0.00422246597913512,0.6295408010482788,0.5834801739112603,0.018016575557308817,0.6132527917639448
shannon,10,0.04408043771982193,0.005156689138263985,20.2,73.4,40.56,16.993685594749675,0.730249571800232,0.8908938765525818,0.019724325373713842,0.012126653048988698,0.03348864298194525,0.01784820794530607,0.06107551931663755,0.02225171941213995,0.6189384460449219,0.0025831596520030507,0.6251988530158996,0.5767234518616059,0.016006009960749964,0.5939470994721199
