reader,fold,training_positive_count,held_out_positive_count,recall_at_10,recall_at_25,recall_at_50,mean_held_out_similarity,median_held_out_similarity,mean_rank_percentile,median_rank_percentile
you,1,78,20,0.1,0.2,0.35,0.6169106870889663,0.6377249658107758,0.6552924791086352,0.7493036211699164
you,2,78,20,0.05,0.1,0.3,0.6354705095291138,0.6393260955810547,0.7203342618384401,0.7506963788300836
you,3,78,20,0.05,0.25,0.3,0.632964837551117,0.629880279302597,0.7136490250696379,0.7270194986072424
you,4,79,19,0.10526315789473684,0.21052631578947367,0.3684210526315789,0.645542417701922,0.649355411529541,0.7494502272394077,0.7966573816155988
you,5,79,19,0.05263157894736842,0.3157894736842105,0.47368421052631576,0.645906034268831,0.6481747627258301,0.7575135610614281,0.7966573816155988
